date,home_team,away_team,neutral,tournament,result,H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
2000-06-04,Morocco,Jamaica,False,King Hassan II Tournament,H,6,4,1,1,0.8333333333333334,0.3333333333333333,0.5,2.1666666666666665,7,2,1,4,0.42857142857142855,1.1428571428571428,-0.7142857142857143,1.0,0,1
2000-06-04,Nigeria,Malawi,False,Friendly,H,8,5,3,0,2.0,0.625,1.375,2.25,8,3,4,1,1.25,0.875,0.375,1.625,0,0
2000-06-04,Cuba,Canada,False,FIFA World Cup qualification,A,9,3,5,1,1.3333333333333333,0.4444444444444444,0.8888888888888888,1.5555555555555556,9,6,3,0,1.3333333333333333,0.4444444444444444,0.8888888888888888,2.3333333333333335,0,1
2000-06-04,Senegal,Zambia,False,Friendly,D,10,2,5,3,1.3,1.3,0.0,1.1,10,5,3,2,1.2,0.7,0.5,1.8,0,0
2000-06-04,Peru,Brazil,False,FIFA World Cup qualification,A,6,2,2,2,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,5,3,2,0,2.8,0.6,2.2,2.2,0,1
2000-06-04,Eswatini,Mozambique,False,Friendly,D,6,0,1,5,0.16666666666666666,2.1666666666666665,-2.0,0.16666666666666666,5,1,1,3,0.6,1.2,-0.6,0.8,0,0
2000-06-06,Nigeria,Malawi,False,Friendly,H,9,6,3,0,2.111111111111111,0.7777777777777778,1.3333333333333333,2.3333333333333335,9,3,4,2,1.3333333333333333,1.1111111111111112,0.2222222222222222,1.4444444444444444,0,0
2000-06-06,Senegal,Zambia,False,Friendly,D,10,1,6,3,1.0,1.2,-0.2,0.9,10,5,4,1,1.2,0.5,0.7,1.9,0,0
2000-06-06,Jamaica,Japan,True,King Hassan II Tournament,A,8,2,1,5,0.375,1.125,-0.75,0.875,7,3,2,2,2.4285714285714284,0.5714285714285714,1.8571428571428572,1.5714285714285714,1,1
2000-06-06,Morocco,France,False,King Hassan II Tournament,A,7,5,1,1,0.8571428571428571,0.2857142857142857,0.5714285714285714,2.2857142857142856,5,4,1,0,2.0,0.8,1.2,2.6,0,1
2000-06-07,Iran,Egypt,False,Friendly,D,10,7,2,1,1.5,0.3,1.2,2.3,9,6,0,3,1.6666666666666667,1.0,0.6666666666666666,2.0,0,0
2000-06-07,Mexico,South Africa,True,USA Cup,H,7,3,2,2,1.7142857142857142,1.1428571428571428,0.5714285714285714,1.5714285714285714,10,6,2,2,1.2,0.9,0.3,2.0,1,1
2000-06-09,Egypt,South Korea,True,Friendly,A,10,6,1,3,1.6,1.0,0.6,1.9,10,5,5,0,2.4,0.3,2.1,2.0,1,0
2000-06-10,Thailand,Qatar,False,Friendly,A,10,7,1,2,2.2,1.7,0.5,2.2,10,6,1,3,2.1,0.8,1.3,1.9,0,0
2000-06-10,Saint Vincent and the Grenadines,Barbados,False,Friendly,H,6,5,0,1,3.6666666666666665,0.6666666666666666,3.0,2.5,8,4,4,0,2.125,1.125,1.0,2.0,0,0
2000-06-11,United States,Mexico,False,USA Cup,H,9,4,4,1,1.6666666666666667,0.8888888888888888,0.7777777777777778,1.7777777777777777,8,4,2,2,2.0,1.25,0.75,1.75,0,1
2000-06-11,Netherlands,Czech Republic,False,UEFA Euro,H,5,3,2,0,1.8,1.0,0.8,2.2,5,3,0,2,2.6,1.8,0.8,1.8,0,1
2000-06-11,Lesotho,Zambia,False,COSAFA Cup,D,9,2,2,5,0.4444444444444444,1.0,-0.5555555555555556,0.8888888888888888,10,5,4,1,1.1,0.4,0.7,1.9,0,1
2000-06-11,Tunisia,Senegal,False,Friendly,H,10,4,3,3,1.2,1.3,-0.1,1.5,10,1,7,2,1.0,1.1,-0.1,1.0,0,0
2000-06-11,Republic of Ireland,South Africa,True,USA Cup,H,5,1,2,2,1.4,1.6,-0.2,1.0,10,5,2,3,1.3,1.3,0.0,1.7,1,1
2000-06-11,Canada,Cuba,False,FIFA World Cup qualification,D,10,7,3,0,1.3,0.4,0.9,2.4,10,3,5,2,1.2,0.5,0.7,1.4,0,1
2000-06-11,Antigua and Barbuda,Guatemala,False,FIFA World Cup qualification,A,8,2,4,2,1.125,1.625,-0.5,1.25,10,2,5,3,1.0,1.3,-0.3,1.1,0,1
2000-06-11,Japan,Slovakia,False,Kirin Cup,D,8,4,2,2,2.625,0.5,2.125,1.75,6,1,3,2,0.6666666666666666,0.8333333333333334,-0.16666666666666666,1.0,0,1
2000-06-12,Germany,Romania,True,UEFA Euro,D,5,2,2,1,2.8,1.6,1.2,1.6,7,3,1,3,1.4285714285714286,1.2857142857142858,0.14285714285714285,1.4285714285714286,1,1
2000-06-13,Spain,Norway,True,UEFA Euro,A,5,3,2,0,1.4,0.2,1.2,2.2,7,3,3,1,1.1428571428571428,0.7142857142857143,0.42857142857142855,1.7142857142857142,1,1
2000-06-14,Bolivia,Slovakia,True,Kirin Cup,A,5,1,2,2,2.0,1.0,1.0,1.0,7,1,4,2,0.7142857142857143,0.8571428571428571,-0.14285714285714285,1.0,1,1
2000-06-14,Belgium,Italy,False,UEFA Euro,A,5,2,3,0,1.8,1.2,0.6,1.8,5,3,0,2,1.0,0.8,0.2,1.8,0,1
2000-06-15,Australia,Paraguay,False,Friendly,H,7,1,4,2,0.8571428571428571,0.8571428571428571,0.0,1.0,5,2,2,1,0.8,0.6,0.2,1.6,0,0
2000-06-15,New Caledonia,Vanuatu,False,Friendly,H,5,3,0,2,2.8,2.4,0.4,1.8,5,2,0,3,2.6,2.0,0.6,1.2,0,0
2000-06-16,Czech Republic,France,True,UEFA Euro,A,6,3,0,3,2.1666666666666665,1.6666666666666667,0.5,1.5,7,6,1,0,2.5714285714285716,0.7142857142857143,1.8571428571428572,2.7142857142857144,1,1
2000-06-16,Algeria,Senegal,False,FIFA World Cup qualification,D,9,4,3,2,1.4444444444444444,0.5555555555555556,0.8888888888888888,1.6666666666666667,10,1,6,3,0.9,1.3,-0.4,0.9,0,1
2000-06-17,Malawi,Burkina Faso,False,FIFA World Cup qualification,D,10,3,4,3,1.3,1.4,-0.1,1.3,10,3,2,5,1.3,1.6,-0.3,1.1,0,1
2000-06-17,Romania,Portugal,True,UEFA Euro,A,8,3,2,3,1.375,1.25,0.125,1.375,5,3,1,1,1.8,1.2,0.6,2.0,1,1
2000-06-17,Haiti,Honduras,False,FIFA World Cup qualification,A,10,5,2,3,2.5,1.3,1.2,1.7,10,6,0,4,2.2,1.5,0.7,1.8,0,1
2000-06-17,England,Germany,True,UEFA Euro,H,5,2,2,1,1.4,1.0,0.4,1.6,6,2,3,1,2.5,1.5,1.0,1.5,1,1
2000-06-17,Egypt,Ghana,False,Friendly,H,10,5,1,4,1.4,1.0,0.4,1.6,7,4,1,2,1.2857142857142858,0.8571428571428571,0.42857142857142855,1.8571428571428572,0,0
2000-06-18,Ivory Coast,Tunisia,False,FIFA World Cup qualification,D,6,3,2,1,1.5,1.0,0.5,1.8333333333333333,10,5,3,2,1.6,1.2,0.4,1.8,0,1
2000-06-18,Japan,Bolivia,False,Kirin Cup,H,9,4,3,2,2.4444444444444446,0.5555555555555556,1.8888888888888888,1.6666666666666667,6,1,2,3,1.6666666666666667,1.1666666666666667,0.5,0.8333333333333334,0,1
