H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
10,2,2,6,0.4,1.4,-1.0,0.8,10,4,5,1,1.7,1.0,0.7,1.7,0,0
10,5,2,3,1.9,1.3,0.6,1.7,6,2,1,3,1.1666666666666667,2.0,-0.8333333333333334,1.1666666666666667,0,0
7,3,3,1,1.0,0.7142857142857143,0.2857142857142857,1.7142857142857142,5,4,1,0,2.2,0.4,1.8,2.6,0,0
10,2,4,4,1.3,1.7,-0.4,1.0,6,2,2,2,1.3333333333333333,1.1666666666666667,0.16666666666666666,1.3333333333333333,0,0
9,5,1,3,2.0,1.7777777777777777,0.2222222222222222,1.7777777777777777,10,5,3,2,2.1,1.1,1.0,1.8,1,0
10,4,3,3,0.7,0.4,0.3,1.5,9,4,2,3,1.0,1.4444444444444444,-0.4444444444444444,1.5555555555555556,0,1
10,5,3,2,1.9,0.7,1.2,1.8,10,2,2,6,0.7,1.3,-0.6,0.8,0,0
10,5,4,1,1.8,1.2,0.6,1.9,6,3,1,2,1.1666666666666667,0.5,0.6666666666666666,1.6666666666666667,0,1
6,5,0,1,1.8333333333333333,1.0,0.8333333333333334,2.5,10,5,1,4,1.4,1.4,0.0,1.6,0,1
10,1,7,2,0.9,1.2,-0.3,1.0,10,6,1,3,1.6,0.8,0.8,1.9,0,1
9,5,2,2,0.7777777777777778,0.7777777777777778,0.0,1.8888888888888888,10,4,5,1,1.6,0.7,0.9,1.7,0,1
8,2,4,2,1.625,1.0,0.625,1.25,8,4,1,3,1.375,1.0,0.375,1.625,0,1
10,6,3,1,2.0,0.5,1.5,2.1,6,4,2,0,2.0,0.5,1.5,2.3333333333333335,0,1
8,4,1,3,1.125,1.0,0.125,1.625,5,1,1,3,1.2,1.4,-0.2,0.8,0,1
10,5,3,2,0.9,0.3,0.6,1.8,5,3,0,2,1.0,1.2,-0.2,1.8,0,1
10,2,3,5,1.3,1.8,-0.5,0.9,7,3,2,2,2.0,2.142857142857143,-0.14285714285714285,1.5714285714285714,0,1
6,0,2,4,0.6666666666666666,1.5,-0.8333333333333334,0.3333333333333333,9,1,2,6,0.5555555555555556,2.0,-1.4444444444444444,0.5555555555555556,0,1
7,3,1,3,1.0,0.5714285714285714,0.42857142857142855,1.4285714285714286,9,4,2,3,0.8888888888888888,0.6666666666666666,0.2222222222222222,1.5555555555555556,0,1
9,4,1,4,1.2222222222222223,1.1111111111111112,0.1111111111111111,1.4444444444444444,5,2,1,2,1.4,1.4,0.0,1.4,0,1
8,7,0,1,3.125,0.625,2.5,2.625,10,3,1,6,1.1,1.5,-0.4,1.0,0,1
10,3,5,2,1.6,1.5,0.1,1.4,7,3,2,2,1.8571428571428572,1.2857142857142858,0.5714285714285714,1.5714285714285714,0,1
10,7,3,0,1.3,0.4,0.9,2.4,10,4,3,3,1.6,1.1,0.5,1.5,0,1
10,5,1,4,1.8,1.7,0.1,1.6,10,6,0,4,2.3,1.6,0.7,1.8,0,1
6,1,1,4,0.6666666666666666,1.8333333333333333,-1.1666666666666667,0.6666666666666666,5,1,1,3,1.4,1.8,-0.4,0.8,0,1
9,4,3,2,1.8888888888888888,1.6666666666666667,0.2222222222222222,1.6666666666666667,8,0,6,2,0.75,1.125,-0.375,0.75,0,1
10,5,0,5,1.6,2.0,-0.4,1.5,10,5,2,3,1.9,1.3,0.6,1.7,0,1
7,1,2,4,0.5714285714285714,1.1428571428571428,-0.5714285714285714,0.7142857142857143,10,2,3,5,0.4,0.9,-0.5,0.9,0,1
10,5,3,2,2.0,1.0,1.0,1.8,10,5,4,1,1.8,0.8,1.0,1.9,0,1
8,3,2,3,0.875,1.0,-0.125,1.375,7,4,3,0,2.2857142857142856,0.5714285714285714,1.7142857142857142,2.142857142857143,0,1
5,4,1,0,2.4,0.4,2.0,2.6,6,3,0,3,2.1666666666666665,1.6666666666666667,0.5,1.5,0,1
8,1,2,5,1.5,1.625,-0.125,0.625,10,4,1,5,1.7,1.8,-0.1,1.3,0,1
8,2,2,4,1.375,1.375,0.0,1.0,10,4,3,3,1.3,1.1,0.2,1.5,0,1
10,5,4,1,1.9,0.7,1.2,1.9,10,4,4,2,1.6,1.4,0.2,1.6,0,1
10,5,2,3,1.7,1.0,0.7,1.7,10,5,2,3,1.9,1.3,0.6,1.7,0,1
10,4,0,6,1.2,2.0,-0.8,1.2,10,6,3,1,1.1,0.6,0.5,2.1,0,1
10,2,3,5,0.4,0.9,-0.5,0.9,8,5,2,1,2.0,0.875,1.125,2.125,0,1
10,3,1,6,1.1,1.5,-0.4,1.0,10,7,0,3,2.5,1.3,1.2,2.1,0,1
8,3,2,3,1.75,1.375,0.375,1.375,10,5,4,1,1.8,0.8,1.0,1.9,0,1
10,5,1,4,1.9,1.7,0.2,1.6,9,7,0,2,2.7777777777777777,0.6666666666666666,2.111111111111111,2.3333333333333335,0,1
7,3,0,4,1.8571428571428572,1.7142857142857142,0.14285714285714285,1.2857142857142858,10,4,3,3,1.3,1.1,0.2,1.5,0,1
8,2,1,5,1.125,2.125,-1.0,0.875,10,4,1,5,1.7,1.8,-0.1,1.3,0,1
8,4,3,1,2.125,0.75,1.375,1.875,6,5,1,0,2.3333333333333335,0.3333333333333333,2.0,2.6666666666666665,0,1
5,3,1,1,1.4,0.8,0.6,2.0,9,2,2,5,1.2222222222222223,1.3333333333333333,-0.1111111111111111,0.8888888888888888,0,1
9,2,2,5,1.4444444444444444,1.4444444444444444,0.0,0.8888888888888888,9,4,2,3,1.0,1.0,0.0,1.5555555555555556,0,1
5,0,2,3,0.2,1.2,-1.0,0.4,5,1,0,4,0.8,1.6,-0.8,0.6,1,0
8,5,1,2,3.875,0.375,3.5,2.0,10,6,4,0,2.5,0.3,2.2,2.2,0,0
10,6,1,3,1.6,1.2,0.4,1.9,8,6,0,2,2.0,1.0,1.0,2.25,0,1
10,6,1,3,2.5,1.4,1.1,1.9,10,3,2,5,2.0,1.9,0.1,1.1,1,0
10,5,2,3,1.5,0.5,1.0,1.7,9,4,1,4,0.8888888888888888,0.8888888888888888,0.0,1.4444444444444444,0,0
9,4,2,3,1.7777777777777777,1.3333333333333333,0.4444444444444444,1.5555555555555556,9,2,1,6,1.0,2.111111111111111,-1.1111111111111112,0.7777777777777778,0,0
10,4,1,5,0.8,0.9,-0.1,1.3,10,3,4,3,1.6,1.0,0.6,1.3,1,0
10,4,1,5,1.1,1.7,-0.6,1.3,8,3,1,4,1.625,1.5,0.125,1.25,0,0
10,5,1,4,2.4,1.5,0.9,1.6,8,3,1,4,1.0,0.875,0.125,1.25,0,1
10,6,2,2,1.6,0.4,1.2,2.0,10,4,4,2,1.8,0.9,0.9,1.6,0,0
10,3,3,4,0.6,0.8,-0.2,1.2,9,7,0,2,1.8888888888888888,0.8888888888888888,1.0,2.3333333333333335,0,1
10,5,2,3,1.8,1.2,0.6,1.7,10,6,3,1,0.9,0.4,0.5,2.1,0,1
10,4,2,4,2.2,1.5,0.7,1.4,5,1,0,4,0.8,2.6,-1.8,0.6,0,1
10,4,2,4,1.7,1.7,0.0,1.4,10,6,3,1,2.0,0.6,1.4,2.1,0,1
10,5,1,4,1.8,1.6,0.2,1.6,9,5,3,1,2.2222222222222223,0.7777777777777778,1.4444444444444444,2.0,0,1
10,4,4,2,1.3,0.9,0.4,1.6,6,3,2,1,1.1666666666666667,0.6666666666666666,0.5,1.8333333333333333,0,1
