H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
10,2,5,3,1.3,1.3,0.0,1.1,10,5,3,2,1.2,0.7,0.5,1.8,0,0
6,2,2,2,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,5,3,2,0,2.8,0.6,2.2,2.2,0,1
6,0,1,5,0.16666666666666666,2.1666666666666665,-2.0,0.16666666666666666,5,1,1,3,0.6,1.2,-0.6,0.8,0,0
9,6,3,0,2.111111111111111,0.7777777777777778,1.3333333333333333,2.3333333333333335,9,3,4,2,1.3333333333333333,1.1111111111111112,0.2222222222222222,1.4444444444444444,0,0
10,1,6,3,1.0,1.2,-0.2,0.9,10,5,4,1,1.2,0.5,0.7,1.9,0,0
8,2,1,5,0.375,1.125,-0.75,0.875,7,3,2,2,2.4285714285714284,0.5714285714285714,1.8571428571428572,1.5714285714285714,1,1
7,5,1,1,0.8571428571428571,0.2857142857142857,0.5714285714285714,2.2857142857142856,5,4,1,0,2.0,0.8,1.2,2.6,0,1
10,7,2,1,1.5,0.3,1.2,2.3,9,6,0,3,1.6666666666666667,1.0,0.6666666666666666,2.0,0,0
7,3,2,2,1.7142857142857142,1.1428571428571428,0.5714285714285714,1.5714285714285714,10,6,2,2,1.2,0.9,0.3,2.0,1,1
10,6,1,3,1.6,1.0,0.6,1.9,10,5,5,0,2.4,0.3,2.1,2.0,1,0
10,7,1,2,2.2,1.7,0.5,2.2,10,6,1,3,2.1,0.8,1.3,1.9,0,0
6,5,0,1,3.6666666666666665,0.6666666666666666,3.0,2.5,8,4,4,0,2.125,1.125,1.0,2.0,0,0
9,4,4,1,1.6666666666666667,0.8888888888888888,0.7777777777777778,1.7777777777777777,8,4,2,2,2.0,1.25,0.75,1.75,0,1
5,3,2,0,1.8,1.0,0.8,2.2,5,3,0,2,2.6,1.8,0.8,1.8,0,1
9,2,2,5,0.4444444444444444,1.0,-0.5555555555555556,0.8888888888888888,10,5,4,1,1.1,0.4,0.7,1.9,0,1
10,4,3,3,1.2,1.3,-0.1,1.5,10,1,7,2,1.0,1.1,-0.1,1.0,0,0
5,1,2,2,1.4,1.6,-0.2,1.0,10,5,2,3,1.3,1.3,0.0,1.7,1,1
10,7,3,0,1.3,0.4,0.9,2.4,10,3,5,2,1.2,0.5,0.7,1.4,0,1
8,2,4,2,1.125,1.625,-0.5,1.25,10,2,5,3,1.0,1.3,-0.3,1.1,0,1
8,4,2,2,2.625,0.5,2.125,1.75,6,1,3,2,0.6666666666666666,0.8333333333333334,-0.16666666666666666,1.0,0,1
5,2,2,1,2.8,1.6,1.2,1.6,7,3,1,3,1.4285714285714286,1.2857142857142858,0.14285714285714285,1.4285714285714286,1,1
5,3,2,0,1.4,0.2,1.2,2.2,7,3,3,1,1.1428571428571428,0.7142857142857143,0.42857142857142855,1.7142857142857142,1,1
5,1,2,2,2.0,1.0,1.0,1.0,7,1,4,2,0.7142857142857143,0.8571428571428571,-0.14285714285714285,1.0,1,1
5,2,3,0,1.8,1.2,0.6,1.8,5,3,0,2,1.0,0.8,0.2,1.8,0,1
7,1,4,2,0.8571428571428571,0.8571428571428571,0.0,1.0,5,2,2,1,0.8,0.6,0.2,1.6,0,0
5,3,0,2,2.8,2.4,0.4,1.8,5,2,0,3,2.6,2.0,0.6,1.2,0,0
6,3,0,3,2.1666666666666665,1.6666666666666667,0.5,1.5,7,6,1,0,2.5714285714285716,0.7142857142857143,1.8571428571428572,2.7142857142857144,1,1
9,4,3,2,1.4444444444444444,0.5555555555555556,0.8888888888888888,1.6666666666666667,10,1,6,3,0.9,1.3,-0.4,0.9,0,1
10,3,4,3,1.3,1.4,-0.1,1.3,10,3,2,5,1.3,1.6,-0.3,1.1,0,1
8,3,2,3,1.375,1.25,0.125,1.375,5,3,1,1,1.8,1.2,0.6,2.0,1,1
10,5,2,3,2.5,1.3,1.2,1.7,10,6,0,4,2.2,1.5,0.7,1.8,0,1
5,2,2,1,1.4,1.0,0.4,1.6,6,2,3,1,2.5,1.5,1.0,1.5,1,1
10,5,1,4,1.4,1.0,0.4,1.6,7,4,1,2,1.2857142857142858,0.8571428571428571,0.42857142857142855,1.8571428571428572,0,0
